Nomor,Operasi,Volume,Jumlah client worker pool,Jumlah server worker pool,Waktu total per client (s),Throughput per client (Bps),Jumlah request sukses,Jumlah request gagal
1,upload,10MB,1,1,0.14,73930167.34,1,0
2,upload,10MB,1,5,0.14,73756343.53,1,0
3,upload,10MB,1,50,0.15,72196292.24,1,0
4,upload,10MB,5,1,0.46,22903772.42,5,0
5,upload,10MB,5,5,0.9,11687392.69,5,0
6,upload,10MB,5,50,0.93,11235775.35,5,0
7,upload,10MB,50,1,4.9,2140502.56,50,0
8,upload,10MB,50,5,9.26,1132178.4,50,0
9,upload,10MB,50,50,8.73,1200736.18,50,0
10,upload,50MB,1,1,1.33,39357515.59,1,0
11,upload,50MB,1,5,0.75,69797698.5,1,0
12,upload,50MB,1,50,1.43,36760061.24,1,0
13,upload,50MB,5,1,4.31,12175906.46,5,0
14,upload,50MB,5,5,6.89,7606969.17,5,0
15,upload,50MB,5,50,5.13,10228467.57,5,0
16,upload,50MB,50,1,13.81,3796080.01,0,50
17,upload,50MB,50,5,6.43,8147980.49,0,50
18,upload,50MB,50,50,6.86,7645233.94,0,50
19,upload,100MB,1,1,2.55,41083257.37,1,0
20,upload,100MB,1,5,2.03,51634409.13,1,0
21,upload,100MB,1,50,1.45,72367642.68,1,0
22,upload,100MB,5,1,10.0,10488900.69,5,0
23,upload,100MB,5,5,16.33,6422882.98,5,0
24,upload,100MB,5,50,14.05,7463196.57,5,0
25,upload,100MB,50,1,45.55,2302172.18,0,50
26,upload,100MB,50,5,12.4,8454264.45,0,50
27,upload,100MB,50,50,41.82,2507301.82,0,50
28,download,10MB,1,1,0.21,49119329.35,1,0
29,download,10MB,1,5,0.21,49800556.55,1,0
30,download,10MB,1,50,0.21,50657416.56,1,0
31,download,10MB,5,1,0.57,18252382.0,5,0
32,download,10MB,5,5,0.49,21459852.31,5,0
33,download,10MB,5,50,0.54,19478257.97,5,0
34,download,10MB,50,1,4.19,2501204.81,50,0
35,download,10MB,50,5,3.3,3174267.16,50,0
36,download,10MB,50,50,3.34,3136608.12,50,0
37,download,50MB,1,1,1.09,48272106.38,1,0
38,download,50MB,1,5,0.89,59010592.96,1,0
39,download,50MB,1,50,0.88,59713115.47,1,0
40,download,50MB,5,1,2.63,19913887.21,5,0
41,download,50MB,5,5,2.69,19522580.35,5,0
42,download,50MB,5,50,2.61,20070726.48,5,0
43,download,50MB,50,1,null,null,null,null
44,download,50MB,50,5,null,null,null,null
45,download,50MB,50,50,null,null,null,null
46,download,100MB,1,1,2.21,47416210.54,1,0
47,download,100MB,1,5,1.83,57407859.09,1,0
48,download,100MB,1,50,1.85,56639836.79,1,0
49,download,100MB,5,1,5.5,19078687.48,5,0
50,download,100MB,5,5,5.19,20202998.53,5,0
51,download,100MB,5,50,5.09,20598822.28,5,0
52,download,100MB,50,1,null,null,null,null
53,download,100MB,50,5,null,null,null,null
54,download,100MB,50,50,null,null,null,null